reward,wiki_entries,price_min_chaos,price_max_chaos,price_display,listing_count,note
Carcass Jack,1,2.0,499.4,2c-1.01 div,2491,3 variants
The Saviour,1,496.1,496.1,1 div,196,
Soul Taker,1,496.1,496.1,1 div,332,
Ngamahu's Flame,1,1.0,496.1,1c-1 div,267,3 variants
Incandescent Heart,1,3.0,479.5,3c-480c,1501,3 variants
The Surrender,1,474.5,474.5,474c,212,
Varunastra,1,450.0,450.0,450c,215,
Lightning Coil,2,3.0,405.1,3c-405c,667,3 variants
Amanamu's Gaze,5,380.0,380.0,380c,524,
Shavronne's Wrappings,1,7.0,366.0,7c-366c,552,3 variants
Death's Door,1,365.0,365.0,365c,126,
Hateforge,6,347.0,347.0,347c,190,
The Whispering Ice,1,1.0,344.0,1c-344c,229,3 variants
Unnatural Instinct,3,340.0,340.0,340c,3991,
Death's Harp,1,2.0,339.2,2c-339c,203,3 variants
Widowhail,2,20.0,318.0,20c-318c,984,3 variants
Quill Rain,2,2.0,300.0,2c-300c,870,3 variants
Ghostwrithe,1,1.0,212.0,1c-212c,2525,3 variants
Atziri's Rule,2,37.6,205.0,38c-205c,21,2 variants
The Ivory Tower,2,2.0,200.0,2c-200c,1343,3 variants
The Tides of Time,1,200.0,200.0,200c,559,
Coward's Legacy,1,200.0,200.0,200c,119,
Farrul's Fur,3,10.0,196.0,10c-196c,538,3 variants
Nightgrip,1,193.2,193.2,193c,159,
Slavedriver's Hand,1,189.0,189.0,189c,85,
Ephemeral Edge,1,185.0,185.0,185c,248,
Trypanon,1,4.0,169.0,4c-169c,115,2 variants
Grand Spectrum,3,24.0,150.0,24c-150c,3341,3 variants
Precursor's Emblem,11,50.0,140.0,50c-140c,9719,5 variants
Stormshroud,1,140.0,140.0,140c,2871,
Bramblejack,1,1.0,135.6,1c-136c,822,3 variants
Dendrobate,2,1.0,132.0,1c-132c,3612,3 variants
Windripper,2,10.0,100.0,10c-100c,585,3 variants
Yoke of Suffering,1,100.0,100.0,100c,2544,
Tidebreaker,1,50.0,100.0,50c-100c,284,2 variants
The Coward's Trial,1,100.0,100.0,100c,258,
Death's Oath,1,2.0,100.0,2c-100c,2456,3 variants
Oriath's End,3,80.0,80.0,80c,1813,
Terminus Est,2,1.0,80.0,1c-80c,1223,3 variants
Paradoxica,2,80.0,80.0,80c,3165,
Olroth's Resolve,2,80.0,80.0,80c,172,
Uul-Netol's Embrace,1,4.4,80.0,4.4c-80c,94,3 variants
Ambu's Charge,1,1.0,80.0,1c-80c,1410,3 variants
Badge of the Brotherhood,2,70.0,70.0,70c,497,
Nebulis,2,53.5,53.5,54c,32467,
Watcher's Eye,7,50.0,50.0,50c,235354,
Soul Mantle,2,1.0,50.0,1c-50c,4096,3 variants
Replica Maloney's Mechanism,1,50.0,50.0,50c,48,
Ralakesh's Impatience,1,50.0,50.0,50c,1601,
Dissolution of the Flesh,1,50.0,50.0,50c,822,
Voice of the Storm,1,49.0,49.0,49c,170,
Ashes of the Stars,11,48.2,48.2,48c,1554,
Cortex,1,47.4,47.4,47c,1119,
Vaults of Atziri,1,46.6,46.6,47c,146,
Replica Dreamfeather,1,45.0,45.0,45c,612,
Thread of Hope,1,41.6,41.6,42c,9569,
Arakaali's Fang,1,40.0,40.0,40c,352,
Replica Witchfire Brew,1,39.1,39.1,39c,94,
Cherrubim's Maleficence,1,0.58,38.6,0.58c-39c,1216,3 variants
The Hidden Blade,1,35.0,35.0,35c,83,
Sire of Shards,1,0.48,33.5,0.48c-34c,1655,3 variants
Doomsower,1,2.0,30.5,2c-30c,263,2 variants
Crown of the Inward Eye,2,30.0,30.0,30c,319,
Relic of the Pact,1,30.0,30.0,30c,143,
Kaom's Heart,1,30.0,30.0,30c,185,
Glorious Vanity,1,30.0,30.0,30c,154758,
Fortress Covenant,1,30.0,30.0,30c,340,
The Iron Mass,1,26.5,26.5,26c,42,
The Formless Flame,1,25.0,25.0,25c,304,
Skyforth,1,25.0,25.0,25c,100,
Ravenous Passion,1,25.0,25.0,25c,990,
Lioneye's Vision,1,1.0,25.0,1c-25c,1137,3 variants
The Harvest,1,0.44,24.6,0.44c-25c,860,3 variants
Marylene's Fallacy,1,23.1,23.1,23c,3419,
Aegis Aurora,9,20.0,20.0,20c,1666,
Forbidden Shako,3,20.0,20.0,20c,28673,
Wraithlord,1,20.0,20.0,20c,366,
Void Battery,1,20.0,20.0,20c,977,
Viridi's Veil,1,20.0,20.0,20c,554,
The Light of Meaning,1,20.0,20.0,20c,7664,
Hands of the High Templar,1,19.7,19.7,20c,453,
Seven-League Step,2,19.0,19.0,19c,517,
Victario's Influence,1,1.0,18.5,1c-18c,2389,3 variants
Death Rush,2,18.2,18.2,18c,807,
Forbidden Flame,6,15.0,15.0,15c,8270,
Eyes of the Greatwolf,2,15.0,15.0,15c,26714,
Ryslatha's Coil,1,15.0,15.0,15c,3402,
Voidfletcher,2,14.1,14.1,14c,202,
The Poet's Pen,3,14.0,14.0,14c,480,
Darkness Enthroned,3,14.0,14.0,14c,1117,
The Pandemonius,1,14.0,14.0,14c,160,
Echoes of Creation,1,14.0,14.0,14c,571,
Astral Projector,2,13.0,13.0,13c,573,
Kondo's Pride,1,0.79,12.5,0.79c-12c,1037,3 variants
Mjölner,2,12.0,12.0,12c,302,
Oro's Sacrifice,1,0.65,12.0,0.65c-12c,1880,3 variants
Taste of Hate,4,10.0,10.0,10c,536,
Aul's Uprising,3,10.0,10.0,10c,3689,
Atziri's Reflection,3,10.0,10.0,10c,925,
Forbidden Flesh,2,10.0,10.0,10c,8224,
Cospri's Malice,2,10.0,10.0,10c,528,
Berek's Respite,2,10.0,10.0,10c,1755,
Vixen's Entrapment,1,10.0,10.0,10c,350,
Usurper's Penance,1,10.0,10.0,10c,294,
The Anima Stone,1,10.0,10.0,10c,785,
Sinvicta's Mettle,1,1.0,10.0,1c-10c,1414,3 variants
Redblade Banner,1,10.0,10.0,10c,122,
Perandus Signet,1,10.0,10.0,10c,993,
Megalomaniac,1,10.0,10.0,10c,398796,
Crown of Eyes,1,10.0,10.0,10c,1010,
Corpsewalker,1,10.0,10.0,10c,134,
Atziri's Promise,1,10.0,10.0,10c,632,
Call of the Void,1,9.6,9.6,9.6c,456,
The Writhing Jar,1,9.0,9.0,9c,1109,
Blackflame,1,9.0,9.0,9c,302,
Replica Emberwake,3,8.6,8.6,8.6c,266,
Crystallised Omniscience,2,8.0,8.0,8c,458,
Prism Guardian,1,8.0,8.0,8c,327,
Fated End,1,8.0,8.0,8c,85,
United in Dream,1,7.9,7.9,7.9c,52,
One With Nothing,1,7.0,7.0,7c,1925,
Graven's Secret,1,7.0,7.0,7c,478,
Asenath's Mark,1,6.2,6.2,6.2c,423,
Mahuxotl's Machination,1,6.0,6.0,6c,95,
Haemophilia,1,6.0,6.0,6c,228,
Replica Dragonfang's Flight,3,5.0,5.0,5c,33456,
Legacy of Fury,3,5.0,5.0,5c,933,
The Eternal Struggle,2,5.0,5.0,5c,13333,
Tabula Rasa,2,5.0,5.0,5c,2102,
Rain of Splinters,2,5.0,5.0,5c,1200,
Impossible Escape,2,5.0,5.0,5c,6506,
Atziri's Foible,2,5.0,5.0,5c,3111,
The Hungry Loop,1,5.0,5.0,5c,205,
Replica Fragility,1,5.0,5.0,5c,20,
Perepiteia,1,5.0,5.0,5c,11733,
Maw of Mischief,1,5.0,5.0,5c,274,
Actum,1,5.0,5.0,5c,76,
Goldrim,1,4.0,4.0,4c,1043,
Debeon's Dirge,1,1.0,3.8,1c-3.8c,840,3 variants
The Scourge,2,3.0,3.0,3c,531,
Lifesprig,2,3.0,3.0,3c,1338,
Dawnbreaker,2,3.0,3.0,3c,9177,
Circle of Guilt,2,3.0,3.0,3c,21600,
Bitterdream,2,3.0,3.0,3c,210,
Rebuke of the Vaal,1,3.0,3.0,3c,2188,
Le Heup of All,1,3.0,3.0,3c,6410,
Fractal Thoughts,1,3.0,3.0,3c,619,
Coruscating Elixir,1,3.0,3.0,3c,439,
Chitus' Apex,1,3.0,3.0,3c,1330,
Brutus' Lead Sprinkler,1,3.0,3.0,3c,368,
Blackheart,1,3.0,3.0,3c,1478,
Beacon of Madness,1,3.0,3.0,3c,841,
Severed in Sleep,1,2.4,2.4,2.4c,159,
Wanderlust,2,2.0,2.0,2c,1035,
March of the Legion,2,2.0,2.0,2c,1203,
"Jack, the Axe",2,2.0,2.0,2c,772,
Doon Cuebiyari,2,2.0,2.0,2c,409,
Cold Iron Point,2,2.0,2.0,2c,299,
Witchfire Brew,1,2.0,2.0,2c,361,
Vessel of Vinktar,1,2.0,2.0,2c,1016,
The Hand of Phrecia,1,2.0,2.0,2c,623,
The Bringer of Rain,1,2.0,2.0,2c,374,
Tavukai,1,2.0,2.0,2c,1590,
Replica Last Resort,1,2.0,2.0,2c,57,
Redbeak,1,2.0,2.0,2c,337,
Karui Ward,1,2.0,2.0,2c,1819,
Fury Valve,1,2.0,2.0,2c,3202,
Augmented Distant Memory,1,2.0,2.0,2c,4137,
Geofri's Crest,1,1.9,1.9,1.9c,1675,
Atziri's Step,1,1.8,1.8,1.8c,286,
The Vertex,1,1.4,1.4,1.4c,687,
Ventor's Gamble,9,1.0,1.0,1c,36851,
White Wind,3,1.0,1.0,1c,6502,
Kitava's Thirst,3,1.0,1.0,1c,1665,
Triad Grip,2,1.0,1.0,1c,1496,
The Eternal Apple,2,1.0,1.0,1c,1425,
Divination Distillate,2,1.0,1.0,1c,726,
Black Sun Crest,2,1.0,1.0,1c,2586,
Belt of the Deceiver,2,1.0,1.0,1c,2320,
Ascent From Flesh,2,1.0,1.0,1c,2829,
Willclash,1,1.0,1.0,1c,500,
Warped Timepiece,1,1.0,1.0,1c,12538,
Umbilicus Immortalis,1,1.0,1.0,1c,1105,
The Wise Oak,1,1.0,1.0,1c,433,
Tear of Purity,1,1.0,1.0,1c,4110,
Tainted Pact,1,1.0,1.0,1c,590,
Storm Secret,1,1.0,1.0,1c,4439,
Springleaf,1,1.0,1.0,1c,492,
Split Personality,1,1.0,1.0,1c,15252,
Snakebite,1,1.0,1.0,1c,2454,
Sin Trek,1,1.0,1.0,1c,3078,
Shaper's Seed,1,1.0,1.0,1c,4809,
Shadows and Dust,1,1.0,1.0,1c,1988,
Perquil's Toe,1,1.0,1.0,1c,3547,
Perandus Blazon,1,1.0,1.0,1c,3589,
Obliteration,1,1.0,1.0,1c,1259,
Meginord's Girdle,1,1.0,1.0,1c,1351,
Mark of the Doubting Knight,1,1.0,1.0,1c,2468,
Mark of Submission,1,1.0,1.0,1c,4532,
Malachai's Loop,1,1.0,1.0,1c,1642,
Leash of Oblation,1,1.0,1.0,1c,438,
Kaltenhalt,1,1.0,1.0,1c,1488,
Ichimonji,1,1.0,1.0,1c,439,
Hyrri's Truth,1,1.0,1.0,1c,5135,
Hrimsorrow,1,1.0,1.0,1c,1164,
Facebreaker,1,1.0,1.0,1c,968,
Eye of Malice,1,1.0,1.0,1c,1098,
Dyadian Dawn,1,1.0,1.0,1c,1180,
Drillneck,1,1.0,1.0,1c,1270,
Death's Hand,1,1.0,1.0,1c,1103,
Circle of Regret,1,1.0,1.0,1c,20949,
Carnage Heart,1,1.0,1.0,1c,9539,
Cameria's Maul,1,1.0,1.0,1c,1322,
Brightbeak,1,1.0,1.0,1c,1326,
Bated Breath,1,1.0,1.0,1c,3811,
Alberon's Warpath,1,1.0,1.0,1c,1876,
Abberath's Horn,1,1.0,1.0,1c,1437,
Allure,1,0.79,0.79,0.79c,3272,
Goblinedge,1,0.61,0.61,0.61c,1718,
Callinellus Malleus,2,0.58,0.58,0.58c,893,
Cybil's Paw,1,0.36,0.36,0.36c,2006,
Whakawairua Tuahu,1,0.31,0.31,0.31c,7123,
Acton's Nightmare,1,0.31,0.31,0.31c,7713,
Veil of the Night,1,0.28,0.28,0.28c,1056,
Giantsbane,1,0.13,0.13,0.13c,1598,
Shadowstitch,2,,,N/A,,not on poe.ninja current league
Leadership's Price,1,,,N/A,,not on poe.ninja current league
Infused Beachhead,1,,,N/A,,not on poe.ninja current league
